pmid	author	order
27855634	Joyce_Tombran-Tink	5
27852701	Chelsea_M_Bolyard	1
27852701	Walter_Hans_Meisen	2
27852701	Yeshavanth_Banasavadi-Siddegowda	3
27852701	Jayson_Hardcastle	4
27852701	Ji_Young_Yoo	5
27852701	Eric_S_Wohleb	6
27852701	Jeffrey_Wojton	7
27852701	Jun-Ge_Yu	8
27852701	Samuel_Dubin	9
27852701	Maninder_Khosla	10
27852701	Bo_Xu	11
27852701	Jonathon_G_Smith	12
27852701	Christopher_Alvarez-Breckenridge	13
27852701	Pete_Pow-Anpongkul	14
27852701	Flavia_Pichiorri	15
27852701	Jianying_Zhang	16
27852701	Matthew_Old	17
27852701	Dan_Zhu	18
27852701	Erwin_G_Van_Meir	19
27852701	Jonathan_Godbout	20
27852701	Michael_A_Caligiuri	21
27852701	Jianhua_Yu	22
27852701	Balveen_Kaur	23
27845896	Feng_Wei	1
27845896	Lijuan_Ding	2
27845896	Zhentong_Wei	3
27845896	Yandong_Zhang	4
27845896	Yang_Li	5
27845896	Luo_Qinghua	6
27845896	Yuteng_Ma	7
27845896	Liang_Guo	8
27845896	Guoyue_Lv	9
27845896	Yan_Liu	10
27845690	S_C_Loux	1
27845690	K_E_Scoggin	2
27845690	M_H_T_Troedsson	3
27845690	E_L_Squires	4
27845690	B_A_Ball	5
27841313	Jean_Lud_Cadet	1
27841313	Irina_N_Krasnova	2
27841313	Donna_Walther	3
27841313	Christie_Brannock	4
27841313	Bruce_Ladenheim	5
27841313	Michael_T_McCoy	6
27841313	Daniel_Collector	7
27841313	Oscar_V_Torres	8
27841313	Ndeah_Terry	9
27841313	Subramaniam_Jayanthi	10
27837624	Meng-Li_Zheng	1
27837624	Nai-Kang_Zhou	2
27837624	Cheng-Hua_Luo	3
27835693	Richa_Rai	1
27835693	Sudhir_Kumar_Chauhan	2
27835693	Vikas_Vikram_Singh	3
27835693	Madhukar_Rai	4
27835693	Geeta_Rai	5
27833104	Chandra_K_Singh	1
27833104	Kareem_M_Malas	2
27833104	Caitlin_Tydrick	3
27833104	Imtiaz_A_Siddiqui	4
27833104	Kenneth_A_Iczkowski	5
27833104	Nihal_Ahmad	6
27829535	Jinpiao_Lin	1
27829535	Yujue_He	2
27829535	Junmin_Chen	3
27829535	Zhiyong_Zeng	4
27829535	Bin_Yang	5
27829535	Qishui_Ou	6
27825128	Claudia_Paret	1
27825128	Johanna_Theruvath	2
27825128	Alexandra_Russo	3
27825128	Bettina_Kron	4
27825128	Khalifa_El_Malki	5
27825128	Nadine_Lehmann	6
27825128	Arthur_Wingerter	7
27825128	Marie_A_Neu	8
27825128	Aslihan_Gerhold-Ay	9
27825128	Wolfgang_Wagner	10
27825128	Clemens_Sommer	11
27825128	Torsten_Pietsch	12
27825128	Larissa_Seidmann	13
27825128	Jörg_Faber	14
27824156	Onat_Kadioglu	1
