pmid	author	order
26637088	Phaedra_Diamond	5
26637088	Annette_Epp	6
26637088	Roxana_Geoffrion	7
26637088	Marie-Andrée_Harvey	8
26637088	Annick_Larochelle	9
26637088	Kenny_Maslow	10
26637088	Grace_Neustaedter	11
26637088	Dante_Pascali	12
26637088	Marianne_Pierce	13
26637088	Jane_Schulz	14
26637088	David_Wilkie	15
26637088	Abdul_Sultan	16
26637088	Ranee_Thakar	17
26637083	Nicolette_Caccia	1
26637083	Amy_Nakajima	2
26637083	Fedde_Scheele	3
26637083	Nancy_Kent	4
26637079	Sarah_L_Sangster	1
26637079	Karen_L_Lawson	2
26629725	Amanda_Black	1
26629725	Edith_Guilbert	2
26629725	Dustin_Costescu	3
26629725	Sheila_Dunn	4
26629725	William_Fisher	5
26629725	Sari_Kives	6
26629725	Melissa_Mirosh	7
26629725	Wendy_V_Norman	8
26629725	Helen_Pymar	9
26629725	Robert_Reid	10
26629725	Geneviève_Roy	11
26629725	Hannah_Varto	12
26629725	Ashley_Waddington	13
26629725	Marie-Soleil_Wagner	14
26629725	Anne_Marie_Whelan	15
26629725	Carrie_Ferguson	16
26629725	Claude_Fortin	17
26629725	Maria_Kielly	18
26629725	Shireen_Mansouri	19
26629725	Nicole_Todd	20
26629721	Carley_J_Pope	1
26629721	Verinder_Sharma	2
26629721	Sapna_Sharma	3
26629721	Dwight_Mazmanian	4
26629718	Dane_A_De_Silva	1
26629718	Diane_Sawchuck	2
26629718	Peter_von_Dadelszen	3
26629718	Melanie_Basso	4
26629718	Anne_R_Synnes	5
26629718	Robert_M_Liston	6
26629718	Laura_A_Magee	7
26606712	Amanda_Black	1
26606712	Edith_Guilbert	2
26606712	Dustin_Costescu	3
26606712	Sheila_Dunn	4
26606712	William_Fisher	5
26606712	Sari_Kives	6
26606712	Melissa_Mirosh	7
26606712	Wendy_V_Norman	8
26606712	Helen_Pymar	9
26606712	Robert_Reid	10
26606712	Geneviève_Roy	11
26606712	Hannah_Varto	12
26606712	Ashley_Waddington	13
26606712	Marie-Soleil_Wagner	14
26606712	Anne_Marie_Whelan	15
26606712	Carrie_Ferguson	16
26606712	Claude_Fortin	17
26606712	Maria_Kielly	18
26606712	Shireen_Mansouri	19
26606712	Nicole_Todd	20
26606708	Rohit_Ramaswamy	1
